nombre,nickname,país,comida_favorita,número_de_la_suerte
Kimberly,lbryan,Mauritania,sushi,57
Gina,casey21,Denmark,tacos,54
Pamela,yhill,Oman,helado,57
Anthony,gpoole,Sao Tome and Principe,fruta,48
Dave,nsanders,Saint Vincent and the Grenadines,ensalada,54
Justin,jamie10,Saint Pierre and Miquelon,pizza,98
William,wsilva,South Africa,fruta,99
Kevin,wagnerjoe,Liechtenstein,chocolate,14
Janice,todd92,Djibouti,pollo,82
Lisa,michael58,Korea,sushi,3
Michael,allison15,Gibraltar,fruta,68
Mary,vburke,Oman,ensalada,7
Jessica,lewistoni,Isle of Man,sushi,2
Rebecca,lynn87,Saint Helena,chocolate,36
Tracy,carsonleslie,United Kingdom,helado,57
Amy,bernardpatterson,Korea,sushi,94
Dustin,nicolegardner,New Zealand,helado,28
Helen,pearsonchristian,Spain,chocolate,77
Jason,brittanyzimmerman,Hungary,tacos,19
Holly,pachecojamie,Burkina Faso,helado,74
Ashley,gibbsmargaret,Turks and Caicos Islands,chocolate,25
Tracy,shawmichael,Falkland Islands (Malvinas),pizza,56
Anthony,esaunders,Haiti,pollo,51
Renee,howardchad,Sri Lanka,helado,89
Barbara,barrettmatthew,United States Virgin Islands,chocolate,47
Diana,qprice,Vietnam,hamburguesa,2
Jacob,vjensen,Thailand,hamburguesa,70
Andrew,moorechad,Croatia,sushi,29
Lisa,dschneider,Saint Pierre and Miquelon,ensalada,3
Jonathan,qmartin,Uzbekistan,ensalada,92
Stacy,beth22,Yemen,chocolate,40
Shawna,fletcherrachel,Latvia,pizza,96
Kayla,aaron00,Greece,sushi,25
Timothy,thompsonkari,Jamaica,ensalada,31
Troy,hrodriguez,Cuba,pizza,27
Amy,michaelhudson,New Zealand,pasta,79
Brandon,jestrada,Nauru,pollo,18
Jeremy,adamjackson,Nauru,pasta,6
Carolyn,nnorman,Spain,pasta,96
Kara,williscatherine,Armenia,chocolate,72
Troy,john82,Nauru,tacos,92
Tyler,jklein,Philippines,pizza,33
Jessica,brobinson,Japan,ensalada,2
Derrick,ellenjames,North Macedonia,hamburguesa,52
Edward,xedwards,Venezuela,pasta,85
Alicia,velasquezbenjamin,Rwanda,sushi,50
Cassandra,davisbridget,Korea,pollo,69
Tara,loganbrittany,Saudi Arabia,fruta,99
Clarence,jesuscarney,Turkey,hamburguesa,18
Jose,umccoy,Togo,helado,23
Leslie,mathisjon,Somalia,helado,26
Evan,kevinpham,French Polynesia,pollo,49
John,jspencer,United States Minor Outlying Islands,fruta,7
Richard,vasquezveronica,United Kingdom,hamburguesa,46
James,douglas78,Ecuador,helado,87
Jennifer,usilva,Algeria,sushi,67
Ashley,xtate,French Polynesia,ensalada,49
Thomas,benjamin02,United Kingdom,fruta,13
Rachael,judy22,Antigua and Barbuda,pollo,48
Kristi,sydney32,Syrian Arab Republic,hamburguesa,69
Evan,rossjohn,Christmas Island,hamburguesa,57
James,kimlori,Niger,fruta,79
Amanda,robert61,Iraq,pollo,46
Jason,lpierce,United States Virgin Islands,sushi,41
Alyssa,msmith,Malaysia,helado,86
Robin,trich,Lao People's Democratic Republic,sushi,88
Shane,hmclean,San Marino,pizza,47
Robert,callahanryan,India,sushi,18
Diane,kennethgomez,Luxembourg,tacos,56
Kristen,jonathon28,Namibia,helado,48
Raymond,dodsoncarolyn,Czech Republic,helado,25
Melissa,abbottjennifer,Liberia,pollo,57
Gary,ndavis,Marshall Islands,tacos,81
Roger,cynthia43,Bosnia and Herzegovina,pasta,80
Thomas,erictodd,Sao Tome and Principe,pizza,58
Benjamin,melodystevenson,India,fruta,99
Paul,gmoore,Northern Mariana Islands,fruta,49
Daniel,ohill,Turks and Caicos Islands,ensalada,55
Jennifer,smithtoni,Sweden,fruta,55
Sydney,wattspeter,Congo,helado,1
Christopher,wanda38,Pitcairn Islands,pasta,11
Michael,bradleykeith,Lebanon,pasta,47
Peggy,gcampbell,Somalia,fruta,24
Dominique,michael30,Dominican Republic,pizza,59
Sarah,tlee,Wallis and Futuna,helado,22
Justin,patelbill,Puerto Rico,fruta,23
Corey,davidpennington,Vanuatu,pasta,59
Amanda,deanna31,Sweden,chocolate,76
Terri,ulopez,Colombia,helado,81
Donna,jessicacameron,Japan,hamburguesa,38
Susan,christopher20,Honduras,hamburguesa,44
Brian,steven98,Saint Martin,hamburguesa,39
Carol,chambersnatasha,Morocco,pollo,88
Whitney,wardsabrina,Zimbabwe,hamburguesa,49
Joseph,jonathanmurray,Luxembourg,fruta,21
Kristen,chelsea59,Japan,pollo,29
Jamie,ophillips,Burundi,pizza,33
Christie,robertsilva,Suriname,chocolate,70
Jonathan,wilcoxbryan,Brazil,hamburguesa,7
Elizabeth,webblinda,Pitcairn Islands,hamburguesa,63
Elaine,robertgriffith,Ghana,chocolate,9
Alexander,mary62,Nicaragua,sushi,14
Danielle,xconner,Slovenia,pizza,36
Holly,travis25,Botswana,hamburguesa,25
Wayne,danielchoi,Kenya,fruta,66
Andrew,bushmegan,Netherlands,chocolate,42
Valerie,johngriffith,British Virgin Islands,ensalada,57
Katelyn,dyermichael,Zimbabwe,chocolate,17
Tamara,savannahwilliams,British Indian Ocean Territory (Chagos Archipelago),helado,92
Joseph,peggy40,Angola,pollo,56
Christopher,ggarcia,Suriname,sushi,3
Jessica,tracyroy,Romania,helado,29
James,darryl58,Lebanon,fruta,53
Stacey,millermitchell,Portugal,sushi,71
Stephen,catherine30,Ecuador,hamburguesa,7
Tonya,itaylor,Swaziland,pasta,100
Andre,caitlyn86,Greece,chocolate,91
Kimberly,william81,Solomon Islands,hamburguesa,51
David,anthonystephens,Cook Islands,fruta,3
Shannon,jeffreyrusso,Niue,tacos,88
Austin,hubermaria,Ghana,tacos,61
Michael,johnsonkatherine,Fiji,pollo,47
Jonathan,wallacerobin,Niue,chocolate,70
Nicholas,joshua41,Kuwait,pizza,19
Richard,april79,Japan,pizza,41
Stacey,frank95,Belgium,ensalada,86
Neil,delgadodaniel,Isle of Man,tacos,60
Carrie,michaeljensen,France,tacos,94
Anna,stonecrystal,Equatorial Guinea,pizza,41
Amy,shawnowens,Algeria,pasta,87
Kevin,bassdarlene,Georgia,sushi,16
Natalie,iwise,Eritrea,ensalada,90
Mario,katelynwilliams,Turks and Caicos Islands,tacos,59
Jeffrey,raymondcolon,Netherlands Antilles,ensalada,99
Kyle,brownsabrina,Cyprus,pollo,6
Douglas,marshalljames,Greece,helado,68
Thomas,othompson,Malawi,helado,32
Patricia,amymarshall,Venezuela,fruta,13
David,jeffrey71,Papua New Guinea,pasta,62
Carlos,shelbyaustin,Norfolk Island,fruta,48
John,faustin,Italy,hamburguesa,100
Leah,brettellis,Equatorial Guinea,ensalada,17
Lucas,martha94,Greece,ensalada,3
Kathleen,ukennedy,Maldives,chocolate,61
Michelle,millerchristopher,Cyprus,sushi,61
James,kelly90,French Southern Territories,helado,94
Shelley,lesliejones,Tunisia,fruta,37
Joshua,ledwards,Mozambique,pizza,86
Andrew,charles45,Antigua and Barbuda,pizza,62
Ryan,keysteven,Thailand,fruta,54
Christina,eallen,Saint Lucia,ensalada,38
Kristina,brianbryant,Moldova,fruta,4
Timothy,dolson,Tunisia,pasta,98
Kathryn,paulsanchez,Sierra Leone,fruta,65
Jon,jessica11,Ghana,ensalada,11
Kyle,dawn46,United States Minor Outlying Islands,sushi,33
Natalie,charlesjoshua,Guatemala,tacos,83
Melissa,davissamuel,Iceland,helado,82
James,knichols,Mexico,fruta,30
William,williamsdanielle,Libyan Arab Jamahiriya,fruta,68
Matthew,curtischristian,Turkmenistan,hamburguesa,75
Jocelyn,bautistasarah,Ukraine,ensalada,29
Catherine,shannon50,Hungary,fruta,19
Phillip,susannixon,Costa Rica,chocolate,53
Melissa,aaronsolis,Peru,ensalada,96
Colleen,haysnatalie,Pakistan,ensalada,99
Matthew,njohnson,Martinique,fruta,1
Stanley,joneskeith,Cuba,fruta,68
Ryan,kgarcia,Northern Mariana Islands,hamburguesa,6
Michelle,alice78,Isle of Man,hamburguesa,38
Martha,william51,Liberia,ensalada,8
Claudia,wendy30,Saint Vincent and the Grenadines,pizza,45
Lisa,robertturner,Madagascar,pollo,2
Barbara,nichole20,Cook Islands,fruta,52
Jean,gabriellemoore,United States of America,fruta,77
Ashley,morrisonroberta,Senegal,helado,61
Jerry,christopherarnold,French Southern Territories,chocolate,89
Cody,amyrobinson,Samoa,hamburguesa,16
Andrea,wpeters,Greenland,helado,54
Erin,nicolethomas,Cuba,helado,32
Stephanie,joshua83,Marshall Islands,helado,80
Eric,lowerypatricia,Tokelau,helado,65
Denise,ryanhensley,Eritrea,hamburguesa,16
Allen,kimomar,Mayotte,hamburguesa,97
Bryan,perezjohn,Uzbekistan,tacos,97
Paula,joycecoffey,Cayman Islands,pizza,1
Allen,ericweber,Northern Mariana Islands,pasta,43
Thomas,phudson,Chad,tacos,32
Stephanie,mathew32,Western Sahara,pizza,13
Eric,vanessa15,Tuvalu,chocolate,23
Keith,mcdonaldkevin,Sweden,sushi,41
Patrick,craigevans,Guadeloupe,pasta,90
Denise,powelljoshua,Italy,sushi,35
Angela,scottdenise,Norway,hamburguesa,41
Dwayne,ijones,China,tacos,85
Sheila,davisxavier,Guyana,ensalada,48
Christopher,markcruz,Afghanistan,tacos,24
Susan,danaterry,Micronesia,sushi,86
Jeremy,brendawood,Bolivia,tacos,18
Ivan,patriciavillarreal,Egypt,tacos,46
Susan,jeffery83,Paraguay,chocolate,63
Joel,blairrobert,Kazakhstan,hamburguesa,81
Jeremy,urobles,Benin,helado,70
Marco,xpeterson,Kazakhstan,pasta,30
Cassandra,nicole64,Liberia,fruta,30
Kim,jbrown,Togo,chocolate,57
Jason,emily11,Brunei Darussalam,pollo,23
Crystal,fsnyder,Honduras,fruta,33
Carla,thompsonrodney,French Guiana,hamburguesa,77
Kelsey,taylor01,Lebanon,pasta,40
Kristin,garciadominique,Bangladesh,tacos,42
David,michelle38,Niue,pasta,1
Linda,underwoodgloria,Paraguay,chocolate,33
Debra,hernandezjohn,Chile,pizza,55
Stephen,emilyrivera,Cambodia,pizza,61
Kayla,misty06,Qatar,tacos,86
Andrew,michelle06,Antigua and Barbuda,pasta,21
Susan,walkerrobert,Congo,pasta,30
Thomas,jasonwilliams,Russian Federation,pizza,9
Renee,halltyrone,Iran,helado,66
Edwin,pcarrillo,Bahamas,pasta,78
Tammy,ctaylor,Nauru,pollo,5
Sean,petergarcia,Djibouti,pollo,72
Kaitlyn,lisaskinner,Central African Republic,pizza,85
Harry,andrea88,Austria,pollo,18
Randy,joehughes,Poland,fruta,59
Deanna,gordonseth,Kyrgyz Republic,hamburguesa,66
Amy,benjaminpeterson,Comoros,fruta,9
Taylor,bmoore,Netherlands Antilles,ensalada,31
Carolyn,donald11,Poland,chocolate,66
Debbie,brandon25,Uzbekistan,tacos,58
Jacob,rmitchell,Nauru,sushi,72
Michael,coltondaniels,Belarus,sushi,82
Kaitlyn,ryan90,Tonga,fruta,72
Connie,natalieclark,Korea,helado,25
Jenna,cherylporter,Anguilla,sushi,97
Christina,sophia66,Italy,fruta,94
Erin,erikahanson,Venezuela,sushi,50
Andrew,gonzalezamber,Bahamas,chocolate,91
Kendra,nguyenlaurie,Canada,chocolate,42
Teresa,martin82,Rwanda,pollo,96
Paul,jenniferdavidson,Uruguay,sushi,65
Crystal,ericafloyd,Algeria,sushi,93
Charles,zbailey,Cuba,pollo,31
Thomas,wzimmerman,French Guiana,pizza,80
James,pamelafitzpatrick,Mongolia,pizza,100
Bruce,michaelbrian,Papua New Guinea,helado,7
Ryan,allison51,El Salvador,fruta,27
Tanya,jennapalmer,New Caledonia,fruta,24
Vincent,jbrown,Hungary,hamburguesa,7
Latoya,christinacasey,Turks and Caicos Islands,sushi,14
Yolanda,jasmine36,Kazakhstan,pizza,73
Holly,williesalas,Montenegro,fruta,47
Robert,xrandall,Equatorial Guinea,pizza,83
Laurie,jameshebert,Turkmenistan,sushi,90
Elizabeth,cdiaz,Slovenia,helado,26
Alan,victoria10,Saint Vincent and the Grenadines,hamburguesa,14
Elizabeth,rodriguezkatherine,Hong Kong,pizza,20
Sean,hannah29,Svalbard & Jan Mayen Islands,ensalada,67
Marc,scottjames,Estonia,fruta,91
Amber,lcisneros,Saint Pierre and Miquelon,hamburguesa,76
James,nobrien,Svalbard & Jan Mayen Islands,pasta,12
Seth,candace72,Israel,pollo,21
Jennifer,morgan31,El Salvador,pollo,66
Anthony,omorgan,Malawi,fruta,46
Robin,hcasey,French Southern Territories,pasta,46
Janice,eric11,Honduras,pasta,70
Mike,destinygreene,Vietnam,fruta,43
Benjamin,merritttim,Honduras,pollo,28
Jodi,johnsondevin,Serbia,pollo,91
Charles,shannon48,Mauritius,helado,24
Cameron,vrodriguez,Greece,hamburguesa,32
Catherine,gregoryzavala,Saint Vincent and the Grenadines,ensalada,44
Brandi,montgomeryaaron,Bulgaria,ensalada,43
Steven,johnnichols,Afghanistan,tacos,32
Brandi,christopheraguilar,Pakistan,helado,11
Linda,hblair,Ukraine,ensalada,42
Kimberly,ajohnson,Antarctica (the territory South of 60 deg S),hamburguesa,32
Deborah,waltersmith,Austria,hamburguesa,95
Angel,patriciamartin,Puerto Rico,chocolate,1
Deborah,sabrinahoward,Bahamas,fruta,26
Ryan,candace62,Heard Island and McDonald Islands,pollo,61
Michael,nelsoncaroline,Thailand,pollo,21
Adam,williamsjessica,Timor-Leste,pasta,91
Diane,owenswalter,Saint Pierre and Miquelon,hamburguesa,100
Denise,sheilarodriguez,Turkmenistan,pasta,89
Michael,melissa98,South Africa,sushi,63
Eric,wchen,Botswana,chocolate,86
Jason,jonesmichael,Barbados,pasta,40
Cynthia,kpowell,Martinique,sushi,90
Jillian,jacksonfrank,Martinique,helado,86
Robin,ccobb,Moldova,chocolate,24
Kenneth,hayesjose,Tanzania,sushi,26
Dale,rmarshall,Zambia,pizza,35
Jessica,danielleparker,Belize,chocolate,31
Jason,jenkinskelsey,Namibia,fruta,82
Brenda,emullins,Mauritania,ensalada,23
Kelly,uberry,Cyprus,pasta,17
Jordan,jeffreyschmidt,Uganda,pollo,28
Carlos,madisonrivera,Japan,pasta,10
Dakota,greyes,United Arab Emirates,pollo,89
Eric,michael63,Niue,helado,21
Theodore,rbuckley,Montserrat,chocolate,32
Kenneth,pmorales,Spain,fruta,10
Gail,karinarobbins,Liechtenstein,sushi,65
Marissa,rhaley,Namibia,pasta,15
Christopher,audrey30,Chad,sushi,50
Stephanie,lopezbrent,Sri Lanka,pizza,69
Melissa,reidcarlos,Honduras,helado,93
David,ufranklin,Canada,pasta,87
Michelle,spencerbennett,Korea,sushi,29
Patricia,erikjohnson,Taiwan,pizza,68
Kathleen,vaughnbrent,Sudan,fruta,27
Brian,ochoasarah,Guam,pollo,1
Jessica,haleyglenn,Cote d'Ivoire,tacos,31
Joshua,kcook,Azerbaijan,hamburguesa,60
Brenda,hahncrystal,Central African Republic,sushi,71
Crystal,charles22,Central African Republic,tacos,83
Lisa,rachelrobinson,Guatemala,sushi,98
Carrie,ekelly,Cambodia,fruta,28
Kendra,wilsonrebecca,French Southern Territories,sushi,26
Timothy,nwagner,Senegal,tacos,37
Peter,justin93,Tanzania,pizza,72
Bethany,lauraspencer,Sierra Leone,tacos,94
Shannon,cynthia66,Uruguay,pasta,87
Patricia,haleymegan,Paraguay,hamburguesa,75
Donna,james18,Armenia,tacos,86
Karen,krobinson,Holy See (Vatican City State),helado,10
Barbara,craig23,Norway,pollo,95
Donald,zcox,Bangladesh,fruta,46
Gabrielle,johnsonrebekah,Antigua and Barbuda,tacos,2
Sara,xpark,Latvia,pollo,3
Cindy,milleralexander,Senegal,sushi,48
Eric,shahsheena,Zimbabwe,pasta,18
Robert,danielthompson,Cote d'Ivoire,pasta,27
Justin,stokesdavid,South Georgia and the South Sandwich Islands,fruta,22
Matthew,nancyjohnson,Tokelau,tacos,72
Christina,greenjulian,Saint Kitts and Nevis,pizza,79
Robert,fandersen,Togo,pollo,20
Adrian,donovandaniel,Guyana,tacos,81
Michael,bakerjeremy,Nicaragua,fruta,61
Todd,qhernandez,Bouvet Island (Bouvetoya),hamburguesa,88
Peter,chengary,Swaziland,pasta,36
Natalie,emurray,Georgia,pollo,27
April,igray,Mozambique,hamburguesa,40
Christopher,carterandrew,Cameroon,ensalada,32
Gregory,dbradley,Mauritania,chocolate,96
Joann,william06,Gambia,fruta,100
Joseph,chavezjeremy,Barbados,ensalada,96
Shawn,byoung,Suriname,sushi,36
Brooke,jmontes,Bahrain,helado,71
Tiffany,dianeguerrero,Cook Islands,hamburguesa,21
Jessica,charles39,Norfolk Island,sushi,69
John,gonzalesjose,Lebanon,tacos,79
Christine,denise15,Guernsey,fruta,38
Ashley,joetate,Israel,ensalada,20
Tara,thomas89,Haiti,tacos,72
Lance,vanessa53,Tanzania,helado,14
Samantha,kristigriffin,Cambodia,helado,62
Pamela,trichardson,Latvia,helado,34
Eduardo,amanda74,Antarctica (the territory South of 60 deg S),ensalada,89
Michael,rtodd,Barbados,helado,99
Susan,gmata,Faroe Islands,fruta,99
Matthew,beckerchristopher,British Virgin Islands,sushi,53
Lori,nathanielhenry,Malaysia,hamburguesa,24
Andrew,david13,Guernsey,helado,41
Shawn,mathewsmall,Holy See (Vatican City State),hamburguesa,30
Jessica,sophia12,Niger,pizza,32
Michael,lisamoon,Poland,tacos,67
Tracy,hamptondebra,Cook Islands,pollo,95
Jon,edwin58,Gabon,sushi,52
Jesse,stephen19,Ireland,fruta,33
Tammie,brandon38,Germany,pasta,26
Christopher,jeffreyfletcher,Egypt,pollo,9
Colleen,edwardsmith,China,pollo,88
Angela,parkandrew,Cote d'Ivoire,pollo,34
Jose,paulhunt,Luxembourg,helado,43
William,hudsonamber,Czech Republic,tacos,31
Janet,boothrachel,Tajikistan,pollo,88
Ana,rebecca85,Timor-Leste,ensalada,42
Jeremy,mdavis,Philippines,ensalada,43
Whitney,jhunter,New Caledonia,pasta,64
Aaron,taylorharper,Micronesia,pizza,8
Terri,ncruz,Saint Martin,fruta,11
David,melissa24,Micronesia,pasta,6
Kimberly,qmora,Madagascar,tacos,38
Christopher,jonathandavis,Uganda,tacos,85
Mark,zrodriguez,Sweden,tacos,90
Brett,anthonywelch,Georgia,hamburguesa,40
Veronica,tyler22,Albania,helado,26
Jennifer,tony22,Central African Republic,chocolate,13
Julia,jenniferfranco,Iraq,tacos,5
Elizabeth,hpalmer,Netherlands Antilles,helado,64
Kelly,zperez,Egypt,chocolate,32
Michael,sarahgates,Luxembourg,helado,8
Matthew,garnerjeffrey,Bangladesh,helado,23
Bridget,dillonsteven,Tajikistan,fruta,29
Scott,mariaflowers,Saint Kitts and Nevis,pollo,27
Jared,gmahoney,Moldova,fruta,10
Alexandra,moseskelly,Benin,pasta,6
John,jblanchard,Mayotte,pasta,75
Richard,williamsjoann,Mauritius,fruta,38
Devon,billy25,Equatorial Guinea,helado,37
Brandon,amanda88,Iran,hamburguesa,32
Cameron,frenchchristine,Austria,sushi,77
David,cheryl27,Norway,ensalada,51
Sarah,phillip13,Netherlands Antilles,tacos,6
Scott,fowlercindy,Burundi,pollo,84
Emily,rjones,Croatia,fruta,46
Nicole,ycarter,Uganda,pasta,60
Cody,ronaldkelley,United Kingdom,pollo,71
Dominic,vaughnmichele,Guatemala,hamburguesa,94
Robert,brian62,Guatemala,hamburguesa,76
Michael,roselauren,Belize,hamburguesa,97
Laura,littlebrenda,Singapore,pollo,53
Patricia,ann55,Congo,tacos,41
Adam,xlozano,Malawi,pollo,42
Tricia,cluna,Mayotte,sushi,91
Mary,loweruth,Haiti,fruta,3
Rachel,bdelacruz,Saint Pierre and Miquelon,sushi,20
Kathleen,isabelsullivan,Tajikistan,pizza,89
Justin,victoriavillarreal,Albania,hamburguesa,71
Dawn,andrew94,Zambia,sushi,85
Amanda,fhowe,Gambia,pollo,82
Mikayla,nicole59,Saint Lucia,sushi,10
Isabella,youngjeffrey,Sierra Leone,pizza,35
Andrew,obarnes,Isle of Man,sushi,100
Jodi,johnsonleslie,Saint Barthelemy,ensalada,99
Nicole,marvin07,Burkina Faso,sushi,30
Anthony,gharris,Ireland,ensalada,93
Emily,bookerkaitlin,Liberia,chocolate,55
Zachary,christopher86,Bolivia,hamburguesa,42
Courtney,jamesbrewer,Kyrgyz Republic,sushi,1
Daniel,mark68,Maldives,ensalada,10
Margaret,joseph71,Chile,hamburguesa,74
Carol,bowmanstephen,Mozambique,tacos,44
Angela,westeric,Jersey,pizza,19
Timothy,ewilson,Saint Lucia,tacos,95
Leah,shardy,Guadeloupe,helado,90
Kelly,jessicasparks,North Macedonia,fruta,27
Bridget,piercekatrina,Lithuania,pollo,23
Jonathan,elizabeth49,Sweden,hamburguesa,8
Mary,fjones,Finland,ensalada,95
Lisa,bdavis,Botswana,ensalada,73
Holly,bwilliams,El Salvador,helado,8
Jeffery,kyle38,Poland,tacos,66
Steven,robertsdestiny,Nicaragua,ensalada,42
Taylor,hcline,Iceland,helado,2
April,kathrynhickman,Gambia,helado,4
Jonathan,mathewspatricia,Libyan Arab Jamahiriya,tacos,77
Abigail,kevin22,Bangladesh,hamburguesa,52
Randy,uwilson,Gambia,pollo,3
Jamie,ksmith,Vietnam,fruta,91
Patricia,arroyojody,Cayman Islands,pollo,82
Bryan,kingmichele,Kazakhstan,helado,20
Chelsea,mayerdana,Slovakia (Slovak Republic),hamburguesa,27
Shawn,wschwartz,Panama,chocolate,19
Adrian,ryanwatson,Comoros,tacos,38
Danielle,brownanthony,Georgia,pizza,90
Brenda,hughesmelissa,American Samoa,ensalada,50
Theodore,fordmichael,Saint Kitts and Nevis,pizza,18
Kristy,knightkimberly,Maldives,tacos,39
Rebecca,keithjennings,Martinique,fruta,44
Nicole,pfranklin,Belgium,pollo,97
Andrew,eibarra,Lao People's Democratic Republic,pizza,22
Caitlin,mcdowelljames,Eritrea,pasta,88
George,martin34,French Polynesia,chocolate,12
Thomas,ssanders,Kuwait,ensalada,5
Evelyn,aparrish,Portugal,ensalada,89
Karen,james43,Niue,hamburguesa,69
Jason,jennifersutton,India,hamburguesa,6
Daniel,vscott,Lesotho,pasta,3
Robert,davidrobinson,Seychelles,sushi,91
Manuel,zpark,Iceland,tacos,95
Kimberly,lisa12,Uzbekistan,fruta,9
Steven,dawn72,Italy,pollo,72
Samantha,hammondsheryl,Cameroon,hamburguesa,95
Amy,fordchristopher,Romania,fruta,9
Brian,carla98,Venezuela,hamburguesa,63
Brian,bkim,Namibia,pizza,76
Garrett,dgomez,Ghana,hamburguesa,18
Matthew,brianhill,New Caledonia,fruta,19
Adam,cmyers,Jersey,pollo,53
Michael,donaldjohnson,Kiribati,ensalada,63
Stephanie,christopherrodriguez,Brazil,hamburguesa,10
Justin,samuelhughes,Hungary,pasta,30
Todd,popeelizabeth,Jamaica,tacos,49
Angela,maryfranklin,Tuvalu,hamburguesa,41
David,mitchellrachel,Saint Martin,tacos,63
Lisa,valeriemcmillan,Papua New Guinea,chocolate,28
Karl,sarah57,Uzbekistan,sushi,65
Thomas,sarah52,Netherlands,pasta,16
Jasmine,cookebony,Uruguay,chocolate,90
Kyle,gomezsonya,Suriname,pasta,30
Denise,crystalhart,Mayotte,pizza,72
Lisa,taraross,Saudi Arabia,tacos,84
Theresa,baxterangela,Japan,pizza,50
Scott,barbara21,Netherlands Antilles,pollo,54
Mark,martinsean,Bouvet Island (Bouvetoya),sushi,95
Monica,poolematthew,Jamaica,helado,79
Nathan,hjoseph,Czech Republic,pasta,95
April,scott21,Pakistan,hamburguesa,50
Glen,qjohnson,Ethiopia,fruta,21
Steven,richardwright,Belize,fruta,8
Lucas,scott03,El Salvador,helado,58
Jonathan,harpererika,Grenada,pizza,50
Richard,tpeck,Finland,sushi,80
Kathryn,mcdonaldsamuel,Paraguay,hamburguesa,93
Joseph,steven24,Algeria,helado,85
Lucas,heather85,Tonga,sushi,82
Robert,patelandrew,Mozambique,pizza,67
Sarah,xdalton,Barbados,chocolate,40
Sean,andrea44,Mozambique,ensalada,69
Vanessa,robertgibbs,Argentina,pizza,99
Derrick,blairbrandi,Mexico,pizza,50
William,luiscervantes,Honduras,ensalada,7
Yvette,ppacheco,San Marino,pasta,22
Ashley,colerichard,Jordan,ensalada,49
Michael,hoganchristopher,Chad,pasta,95
Christina,douglas56,Guam,pasta,20
Curtis,mhudson,Netherlands Antilles,sushi,79
Carrie,josephgreen,Sierra Leone,helado,46
Cristian,umiller,Maldives,pizza,9
Shaun,yjones,Djibouti,sushi,68
Brandon,meyerdawn,India,helado,100
Joshua,kellytorres,Azerbaijan,ensalada,85
